Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Date extracted,Family,Genus,Species
Grevillea scapigera,Corrigin Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,scapigera
Grevillea scortechinii subsp. scortechinii,Black Grevillea,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,scortechinii
Grevillea shiressii,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,shiressii
Grevillea sp. Gillingarra (R.J.Cranfield 4087),-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,sp. Gillingarra (R.J.Cranfield 4087)
Grevillea thelemanniana,Spider Net Grevillea,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,thelemanniana
Grevillea treueriana,"Mt Finke Grevillea, Scarlet Grevillea",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,treueriana
Grevillea wilkinsonii,Tumut Grevillea,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,wilkinsonii
Gudeoconcha sophiae magnifica,Magnificent Helicarionid Land Snail,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Gastropoda,2026-Feb-06,Helicarionidae,Gudeoconcha,sophiae
Guichenotia seorsiflora,-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Guichenotia,seorsiflora
Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,-,-,-,-,-,-,Yes,-,Animalia,Mammalia,2026-Feb-06,Petauridae,Gymnobelideus,leadbeateri
Gyrostemon reticulatus,Net-veined Gyrostemon,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Gyrostemonaceae,Gyrostemon,reticulatus
Habenaria maccraithii,Whiskered Rein Orchid,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida,2026-Feb-06,Orchidaceae,Habenaria,maccraithii
Hakea aculeata,Column Hakea,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,aculeata
Hakea archaeoides,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,archaeoides
Hakea dohertyi,Kowmung Hakea,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,dohertyi
Hakea fraseri,"Gnarled Corkbark, Fraser's Hakea",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,fraseri
Hakea maconochieana,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,maconochieana
Hakea macrorrhyncha,-,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,macrorrhyncha
Hakea megalosperma,Lesueur Hakea,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,megalosperma
Hakea pulvinifera,Lake Keepit Hakea,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,pulvinifera
Hakea trineura,Three-veined Hakea,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Hakea,trineura
Haliotis rubiginosa,Lord Howe Abalone,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Gastropoda,2026-Feb-06,Haliotidae,Haliotis,rubiginosa
Halobaena caerulea,Blue Petrel,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,2026-Feb-06,Procellariidae,Halobaena,caerulea
